From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
4155;13084;sea;5507;-1;-1;-1;-1;;Anguilla-Virgin Islands
198;11047;sea;8370;-1;-1;-1;-1;;Barents-Strait
1630;5057;impassable;-1;-1;-1;-1;-1;;China
8127;10724;impassable;-1;-1;-1;-1;-1;;China
3742;8127;impassable;-1;-1;-1;-1;-1;;China
7803;12880;impassable;-1;-1;-1;-1;-1;;China
8055;10724;impassable;-1;-1;-1;-1;-1;;China
3742;7511;impassable;-1;-1;-1;-1;-1;;China
13764;13765;impassable;-1;-1;-1;-1;-1;;China
1630;7511;impassable;-1;-1;-1;-1;-1;;China
10724;13764;impassable;-1;-1;-1;-1;-1;;China
1959;13764;impassable;-1;-1;-1;-1;-1;;China
8055;12880;impassable;-1;-1;-1;-1;-1;;China
12880;13764;impassable;-1;-1;-1;-1;-1;;China
10854;13764;impassable;-1;-1;-1;-1;-1;;China
3691;7813;sea;6261;-1;-1;-1;-1;;Cold Ass-Strait
153;4526;sea;2571;-1;-1;-1;-1;;Curacao-Zulia
10863;10920;impassable;-1;-1;-1;-1;-1;;Dali
4996;12898;impassable;-1;-1;-1;-1;-1;;Dali
4996;13795;impassable;-1;-1;-1;-1;-1;;Dali
4318;12789;impassable;-1;-1;-1;-1;-1;;Dali
4210;10863;impassable;-1;-1;-1;-1;-1;;Dali
4996;12789;impassable;-1;-1;-1;-1;-1;;Dali
10863;12363;impassable;-1;-1;-1;-1;-1;;Dali
4210;13573;impassable;-1;-1;-1;-1;-1;;Dali
4996;10863;impassable;-1;-1;-1;-1;-1;;Dali
4425;13795;impassable;-1;-1;-1;-1;-1;;Dali
4425;10863;impassable;-1;-1;-1;-1;-1;;Dali
4210;5009;impassable;-1;-1;-1;-1;-1;;Dali
4210;7976;impassable;-1;-1;-1;-1;-1;;Dali
7123;9377;sea;5533;-1;-1;-1;-1;;Dominica-Guadeloupe
379;11106;sea;5533;-1;-1;-1;-1;;Grenada-St Vincent
4450;9377;sea;2887;-1;-1;-1;-1;;Guadeloupe-Montserrat
3067;9198;impassable;-1;-1;-1;-1;-1;;Karjala
157;11146;impassable;-1;-1;-1;-1;-1;;Karjala
80;10390;impassable;-1;-1;-1;-1;-1;;Karjala
134;11096;impassable;-1;-1;-1;-1;-1;;Karjala
80;2998;impassable;-1;-1;-1;-1;-1;;Karjala
9074;9158;impassable;-1;-1;-1;-1;-1;;Karjala
80;3185;impassable;-1;-1;-1;-1;-1;;Karjala
3071;11054;impassable;-1;-1;-1;-1;-1;;Karjala
6045;9074;impassable;-1;-1;-1;-1;-1;;Karjala
36;3067;impassable;-1;-1;-1;-1;-1;;Karjala
2998;11146;impassable;-1;-1;-1;-1;-1;;Karjala
7;6175;impassable;-1;-1;-1;-1;-1;;Karjala
3073;9074;impassable;-1;-1;-1;-1;-1;;Karjala
6096;11096;impassable;-1;-1;-1;-1;-1;;Karjala
7;80;impassable;-1;-1;-1;-1;-1;;Karjala
176;3067;impassable;-1;-1;-1;-1;-1;;Karjala
36;11096;impassable;-1;-1;-1;-1;-1;;Karjala
6096;11054;impassable;-1;-1;-1;-1;-1;;Karjala
7;6098;impassable;-1;-1;-1;-1;-1;;Karjala
3071;11146;impassable;-1;-1;-1;-1;-1;;Karjala
80;6210;impassable;-1;-1;-1;-1;-1;;Karjala
3073;6175;impassable;-1;-1;-1;-1;-1;;Karjala
6134;6175;impassable;-1;-1;-1;-1;-1;;Karjala
9074;9198;impassable;-1;-1;-1;-1;-1;;Karjala
177;7123;sea;5533;-1;-1;-1;-1;;Martinique-Dominica
4450;13084;sea;2887;-1;-1;-1;-1;;Montserrat-Anguilla
22;3016;sea;5792;-1;-1;-1;-1;;Northern-Straits
91;11090;sea;5792;-1;-1;-1;-1;;Northern-Straits
44;11050;sea;5792;-1;-1;-1;-1;;Northern-Straits
3145;11157;sea;5792;-1;-1;-1;-1;;Northern-Straits
1440;4155;sea;5507;-1;-1;-1;-1;;Puerto Rico-Virgin Islands
1766;4923;impassable;-1;-1;-1;-1;-1;;Sikiang
4306;4608;sea;5666;-1;-1;-1;-1;;Soerbaja-Madura
177;13009;sea;5533;-1;-1;-1;-1;;St Lucia-Martinique
379;11350;sea;5533;-1;-1;-1;-1;;St Vincent-Barbados
379;13009;sea;5533;-1;-1;-1;-1;;St Vincent-St Lucia
10188;12148;sea;8660;-1;-1;-1;-1;;Tahiti-Raiatea
5011;8037;impassable;-1;-1;-1;-1;-1;;Tibet
5011;10315;impassable;-1;-1;-1;-1;-1;;Tibet
1943;5011;impassable;-1;-1;-1;-1;-1;;Tibet
3284;13012;sea;2597;-1;-1;-1;-1;;Tobago-Trinidad
1420;12231;sea;5257;-1;-1;-1;-1;;Vancouver-Strait
6062;6205;sea;3590;-1;-1;-1;-1;;West Scottish-Strait
12119;12370;impassable;-1;-1;-1;-1;-1;;pamir mountains
5062;12119;impassable;-1;-1;-1;-1;-1;;pamir mountains
1703;4391;impassable;-1;-1;-1;-1;-1;;pamir mountains
1766;12370;impassable;-1;-1;-1;-1;-1;;pamir mountains
4828;5062;impassable;-1;-1;-1;-1;-1;;pamir mountains
4391;4828;impassable;-1;-1;-1;-1;-1;;pamir mountains
4768;4828;impassable;-1;-1;-1;-1;-1;;pamir mountains
4391;12526;impassable;-1;-1;-1;-1;-1;;pamir mountains
5087;12805;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
1766;12805;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
4676;5414;;-1;-1;-1;-1;-1;ALOR_ARCHIPELAGO;alor archipelago
2776;2800;;-1;-1;-1;-1;-1;BAB_ALMANDAB_STRAIT;bab almandab strait
2714;2737;;-1;-1;-1;-1;-1;BAKAUHENI_MERAK_STRAIT;bakauheni merak strait
2239;5561;;-1;-1;-1;-1;-1;BALI_ARCHIPELAGO;bali archipelago
2857;8774;;-1;-1;-1;-1;-1;BANGGI_STRAIT;banggi strait
2946;8774;;-1;-1;-1;-1;-1;BANGGI_STRAIT;banggi strait
5122;5240;;-1;-1;-1;-1;-1;BASS_STRAIT;bass strait
4905;5240;;-1;-1;-1;-1;-1;BASS_STRAIT;bass strait
8314;13007;;-1;-1;-1;-1;-1;BRISTOL_CHANNEL;bristol channel
