state_id,name,lon,lat,provinces,manpower,vp_count,vp_weight,urban_count,rail_degree,rail_provinces,hubs,C_raw,P_raw,R_raw,T_raw,C,P,R,T,score,percentile,old_infra,new_infra
124,124-Mga,31.075988,59.336136,9,312569,4,4.732051,0,18,7,1,0.525783,10.455385,2.861111,0.620000,0.722854,0.625053,1.000000,0.349788,0.665362,76.020408,4,6
137,137-Crimea,34.277756,45.544067,19,761607,6,8.064495,3,25,12,1,0.621816,10.598772,1.921053,0.831053,0.861449,0.670446,0.650670,0.759983,0.761788,90.306122,5,7
138,138-Idritsa,28.560684,56.469086,14,94701,1,1.732051,0,22,10,1,0.123718,8.819570,2.285714,0.594286,0.142587,0.107192,0.801314,0.299811,0.263992,15.816327,3,3
139,139-Valdai,32.056924,57.836702,18,171233,1,1.732051,0,15,7,1,0.096225,9.160514,1.263889,0.653333,0.102909,0.215127,0.379190,0.414574,0.234738,14.795918,4,2
140,140-Mogilev,29.378398,53.890631,14,179554,3,4.236068,1,19,8,1,0.391862,9.459252,1.964286,0.910714,0.529576,0.309700,0.668530,0.914811,0.572497,63.775510,4,5
192,192-Odessa,30.174110,47.439507,25,1469986,5,7.162278,3,34,16,2,0.436491,10.981905,2.040000,0.854400,0.593986,0.791737,0.699808,0.805361,0.701572,82.142857,4,7
193,193-Kiev,31.837658,51.273129,29,1373637,5,7.700170,2,33,15,2,0.351730,10.765698,1.698276,0.828276,0.471657,0.723291,0.558639,0.754586,0.604199,68.877551,4,6
194,194-Pinsk Marches,28.912855,51.967202,23,934632,3,3.732051,1,23,11,1,0.216611,10.612439,1.467391,0.378261,0.276651,0.674773,0.463258,0.000000,0.348842,31.122449,3,4
195,195-Leningrad Area,30.123078,59.799580,9,3340158,6,13.177395,4,17,6,3,2.019711,12.824307,3.222222,0.825556,1.000000,1.000000,1.000000,0.749299,0.949860,95.408163,5,8
196,196-Kherson,33.340107,46.860124,18,728363,5,6.464102,1,27,12,2,0.428561,10.608208,2.277778,0.952778,0.582541,0.673433,0.798036,0.996564,0.720393,85.204082,4,7
